Dataset,Technique,Variation,Test Loss,Top Features,Execution Time (Seconds)
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients lstm with correlation,With Correlation,0.0037160818465054035,"LOAD|6, LOAD|2, TORQUE|2, LOAD|3, LOAD|1, TORQUE|6, TORQUE|1, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|3",274.7289683818817
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients fnn with correlation,With Correlation,0.0011847493005916476,"LOAD|1, LOAD|6, LOAD|3, TORQUE|2, TORQUE|1, LOAD|2, TORQUE|6, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|3",134.03464603424072
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients lstm with correlation without redundancy,With Correlation without redundancy,0.0012745163403451443,"VEL_FFW|6, ENC_POS|1, ENC_POS|3, ENC_POS|6, LOAD|1, LOAD|6, LOAD|3, TORQUE|3, ENC_POS|2, TORQUE|2",322.53280305862427
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients fnn with correlation without redundancy,With Correlation without redundancy,0.0007581145036965609,"VEL_FFW|6, ENC_POS|1, ENC_POS|2, LOAD|3, TORQUE|6, LOAD|2, ENC_POS|3, ENC_POS|6, TORQUE|3, LOAD|6",1652.2843630313873
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients lstm without correlation,Without Correlation,0.003816614393144846,"ENC_POS|3, ENC1_POS|3, DES_POS|1, TORQUE|3, DES_POS|6, CTRL_POS|1, CMD_SPEED|6, CTRL_POS|3, DES_POS|2, VEL_FFW|6",773.2177119255066
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients lstm with correlation,With Correlation,0.002205889206379652,"TORQUE|1, LOAD|6, LOAD|3, CTRL_DIFF2|6, TORQUE|6, LOAD|1, VEL_FFW|2, VEL_FFW|3, VEL_FFW|6, CONT_DEV|1",39.68568420410156
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients fnn with correlation,With Correlation,0.0014196764677762985,"TORQUE|1, LOAD|6, CTRL_DIFF2|6, LOAD|3, LOAD|1, TORQUE|6, VEL_FFW|2, VEL_FFW|3, VEL_FFW|6, CONT_DEV|1",19.186214208602905
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients lstm with correlation without redundancy,With Correlation without redundancy,0.0007770644733682275,"TORQUE|1, ENC_POS|6, VEL_FFW|2, CTRL_DIFF2|6, ENC_POS|3, LOAD|3, ENC_POS|2, LOAD|2, ENC_POS|1, VEL_FFW|6",39.36253118515015
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients fnn with correlation without redundancy,With Correlation without redundancy,0.0006817540852352977,"ENC_POS|6, TORQUE|1, ENC_POS|2, LOAD|2, ENC_POS|1, CTRL_DIFF2|6, VEL_FFW|6, VEL_FFW|1, ENC_POS|3, LOAD|1",17.537823915481567
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients lstm without correlation,Without Correlation,0.003315926296636462,"CMD_SPEED|2, DES_POS|2, ENC_POS|6, CTRL_POS|3, TORQUE|1, ENC1_POS|3, CTRL_POS|6, VEL_FFW|2, DES_POS|3, ENC_POS|2",38.27757000923157
static/Dataset/DMC2_S_CP1.csv,Integrated Gradients lstm with correlation,With Correlation,0.001646479475311935,"LOAD|1, LOAD|3, LOAD|6, LOAD|2, TORQUE|6, TORQUE|2, TORQUE|1, CTRL_DIFF2|6, TORQUE|3, TORQUE_FFW|2",153.90338397026062
static/Dataset/DMC2_S_CP1.csv,Integrated Gradients fnn with correlation,With Correlation,0.0011008523870259523,"LOAD|6, LOAD|1, LOAD|3, TORQUE|1, TORQUE|6, LOAD|2, TORQUE|2, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|3",68.08155012130737
