Dataset,Technique,Variation,Test Loss,Top Features,Execution Time (Seconds)
static/Dataset/DMC2_AL_CP1.csv,WINIT LSTM with correlation,With Correlation,0.000931423,"LOAD|3, LOAD|6, LOAD|1, TORQUE|3, TORQUE|6, LOAD|2, TORQUE|1, TORQUE|2, TORQUE_FFW|2, TORQUE_FFW|6",242.1614029
static/Dataset/DMC2_AL_CP1.csv,WINIT LSTM with correlation with vae,With Correlation,0.001861569,"LOAD|6, TORQUE|3, LOAD|1, LOAD|3, TORQUE|1, LOAD|2, CTRL_DIFF2|6, TORQUE|2, TORQUE|6, TORQUE_FFW|1",1540.838508
static/Dataset/DMC2_AL_CP1.csv,WINIT GRU with correlation,With Correlation,0.040434465,"LOAD|2, TORQUE|2, TORQUE|6, TORQUE|1, LOAD|3, LOAD|6, LOAD|1, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|1",43.21152306
static/Dataset/DMC2_AL_CP1.csv,WINIT XGB with correlation,With Correlation,0.003909928,"CTRL_DIFF2|6, TORQUE|1, LOAD|1, TORQUE|3, TORQUE|2, TORQUE|6, LOAD|3, LOAD|2, LOAD|6, TORQUE_FFW|1",6.449933052
static/Dataset/DMC2_AL_CP1.csv,WINIT LSTM without correlation with vae,Without Correlation,0.512054384,"LOAD|6, TORQUE|1, TORQUE|2, LOAD|2, TORQUE|6, TORQUE|3, LOAD|3, LOAD|1, CTRL_DIFF|3, CONT_DEV|3",289.939455
static/Dataset/DMC2_AL_CP2.csv,WINIT LSTM with correlation,With Correlation,0.001430039,"TORQUE|1, TORQUE|6, LOAD|6, LOAD|3, LOAD|1, CTRL_DIFF2|6, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",30.65045404
static/Dataset/DMC2_AL_CP2.csv,WINIT LSTM with correlation with vae,With Correlation,0.003073927,"TORQUE|6, TORQUE|1, LOAD|3, TORQUE_FFW|2, LOAD|1, LOAD|6, CTRL_DIFF2|6, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1",30.69347119
static/Dataset/DMC2_AL_CP2.csv,WINIT GRU with correlation,With Correlation,0.027981622,"TORQUE|1, LOAD|6, LOAD|3, LOAD|1, TORQUE|6, CTRL_DIFF2|6, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",5.270030975
static/Dataset/DMC2_AL_CP2.csv,WINIT XGB with correlation,With Correlation,0.005650882,"TORQUE|1, TORQUE|6, CTRL_DIFF2|6, LOAD|6, LOAD|1, LOAD|3, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",1.308476925
static/Dataset/DMC2_AL_CP2.csv,WINIT LSTM without correlation with vae,Without Correlation,0.388699144,"TORQUE|6, TORQUE|1, LOAD|6, VEL_FFW|1, CMD_SPEED|1, TORQUE|2, LOAD|2, LOAD|1, TORQUE|3, LOAD|3",36.19985199
static/Dataset/DMC2_S_CP1.csv,WINIT LSTM with correlation,With Correlation,0.000815699,"TORQUE|1, LOAD|6, LOAD|3, TORQUE|6, TORQUE|2, TORQUE|3, LOAD|1, LOAD|2, TORQUE_FFW|1, CTRL_DIFF2|6",126.1548159
static/Dataset/DMC2_S_CP1.csv,WINIT LSTM with correlation with vae,With Correlation,0.003591329,"TORQUE|3, TORQUE|1, LOAD|3, LOAD|1, TORQUE_FFW|1, TORQUE_FFW|2, TORQUE_FFW|3, TORQUE_FFW|6, LOAD|2, LOAD|6",122.8532863
static/Dataset/DMC2_S_CP1.csv,WINIT GRU with correlation,With Correlation,0.01934463,"TORQUE|2, TORQUE|6, LOAD|2, TORQUE|3, LOAD|3, TORQUE|1, CTRL_DIFF2|6, LOAD|6, LOAD|1, TORQUE_FFW|1",22.61322808
