Dataset,Technique,Variation,Test Loss,Top Features,Execution Time (Seconds)
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients lstm with correlation,With Correlation,0.003716082,"LOAD|6, LOAD|2, TORQUE|2, LOAD|3, LOAD|1, TORQUE|6, TORQUE|1, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|3",274.7289684
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients fnn with correlation,With Correlation,0.001184749,"LOAD|1, LOAD|6, LOAD|3, TORQUE|2, TORQUE|1, LOAD|2, TORQUE|6, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|3",134.034646
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients lstm without correlation,Without Correlation,0.003816614,"ENC_POS|3, ENC1_POS|3, DES_POS|1, TORQUE|3, DES_POS|6, CTRL_POS|1, CMD_SPEED|6, CTRL_POS|3, DES_POS|2, VEL_FFW|6",773.2177119
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients lstm with correlation,With Correlation,0.002205889,"TORQUE|1, LOAD|6, LOAD|3, CTRL_DIFF2|6, TORQUE|6, LOAD|1, VEL_FFW|2, VEL_FFW|3, VEL_FFW|6, CONT_DEV|1",39.6856842
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients fnn with correlation,With Correlation,0.001419676,"TORQUE|1, LOAD|6, CTRL_DIFF2|6, LOAD|3, LOAD|1, TORQUE|6, VEL_FFW|2, VEL_FFW|3, VEL_FFW|6, CONT_DEV|1",19.18621421
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients lstm without correlation,Without Correlation,0.003315926,"CMD_SPEED|2, DES_POS|2, ENC_POS|6, CTRL_POS|3, TORQUE|1, ENC1_POS|3, CTRL_POS|6, VEL_FFW|2, DES_POS|3, ENC_POS|2",38.27757001
static/Dataset/DMC2_S_CP1.csv,Integrated Gradients lstm with correlation,With Correlation,0.001646479,"LOAD|1, LOAD|3, LOAD|6, LOAD|2, TORQUE|6, TORQUE|2, TORQUE|1, CTRL_DIFF2|6, TORQUE|3, TORQUE_FFW|2",153.903384
static/Dataset/DMC2_S_CP1.csv,Integrated Gradients fnn with correlation,With Correlation,0.001100852,"LOAD|6, LOAD|1, LOAD|3, TORQUE|1, TORQUE|6, LOAD|2, TORQUE|2, TORQUE|3, CTRL_DIFF2|6, TORQUE_FFW|3",68.08155012
static/Dataset/DMC2_S_CP1.csv,Integrated Gradients lstm without correlation,Without Correlation,0.003851264,"DES_POS|3, LOAD|1, VEL_FFW|6, ENC1_POS|1, CMD_SPEED|6, ENC_POS|3, CTRL_POS|1, CTRL_POS|3, ENC1_POS|3, TORQUE|6",158.4967871
static/Dataset/DMC2_S_CP2.csv,Integrated Gradients lstm with correlation,With Correlation,0.004060951,"LOAD|6, TORQUE|1, LOAD|3, LOAD|1, TORQUE|6, VEL_FFW|1, VEL_FFW|2, VEL_FFW|3, VEL_FFW|6, CONT_DEV|1",26.05619097
static/Dataset/DMC2_S_CP2.csv,Integrated Gradients fnn with correlation,With Correlation,0.001882741,"TORQUE|1, LOAD|1, LOAD|6, LOAD|3, TORQUE|6, VEL_FFW|1, VEL_FFW|2, VEL_FFW|3, VEL_FFW|6, CONT_DEV|1",12.72913003
static/Dataset/DMC2_S_CP2.csv,Integrated Gradients lstm without correlation,Without Correlation,0.003804674,"TORQUE|1, DES_POS|3, CMD_SPEED|2, CTRL_POS|3, ENC_POS|3, CMD_SPEED|1, ENC1_POS|3, VEL_FFW|2, ENC_POS|1, CMD_SPEED|6",27.89473104
static/Dataset/DMC2_AL_CP1.csv,Integrated Gradients fnn without correlation,Without Correlation,0.041788567,"TORQUE|1, TORQUE|2, TORQUE|6, LOAD|2, TORQUE|3, CTRL_POS|3, LOAD|6, DES_POS|6, ENC1_POS|2, CMD_SPEED|6",126.4307418
static/Dataset/DMC2_AL_CP2.csv,Integrated Gradients fnn without correlation,Without Correlation,0.023545831,"TORQUE|1, TORQUE|2, LOAD|2, CTRL_POS|2, ENC1_POS|6, CMD_SPEED|1, VEL_FFW|1, DES_POS|6, VEL_FFW|6, CTRL_POS|1",17.19475293
static/Dataset/DMC2_S_CP1.csv,Integrated Gradients fnn without correlation,Without Correlation,0.043755401,"TORQUE|1, TORQUE|6, TORQUE|2, LOAD|2, TORQUE|3, ENC_POS|6, LOAD|6, CTRL_POS|6, DES_POS|6, VEL_FFW|6",67.66735196
static/Dataset/DMC2_S_CP2.csv,Integrated Gradients fnn without correlation,Without Correlation,0.027895758,"TORQUE|1, TORQUE|2, LOAD|2, TORQUE|6, CMD_SPEED|1, ENC_POS|2, CMD_SPEED|2, VEL_FFW|1, DES_POS|2, DES_POS|3",11.95135188
