Feature Name,Integrated Gradients Importance
ENC1_POS|6,0.08934456194068824
DES_POS|6,0.044254000291223825
ENC_POS|6,0.024969514981585283
CTRL_POS|6,0.019794307969933932
CMD_SPEED|6,0.005203690920807049
VEL_FFW|6,0.003962740378186647
ENC2_POS|2,0.002085117804819487
DES_POS|3,0.0016272374503756716
ENC2_POS|3,0.0015101568412910688
CTRL_POS|3,0.0013468639003688158
ENC_POS|2,0.0012573803334444684
ENC1_POS|3,0.001193290314049101
ENC_POS|3,0.0011443565888380328
DES_POS|2,0.0008982493621738395
CTRL_POS|2,0.000731618625662421
ENC1_POS|2,0.0007188780332813753
CTRL_POS|1,7.488919142125236e-05
VEL_FFW|3,7.114646759424495e-05
ENC2_POS|1,7.057280492123803e-05
ENC_POS|1,6.06907919258908e-05
DES_POS|1,5.183850972088718e-05
CMD_SPEED|3,4.171491327766221e-05
TORQUE|2,2.4193856889051733e-05
ENC1_POS|1,2.1884573698100852e-05
LOAD|2,1.535636871534598e-05
TORQUE|6,1.1976098907786204e-05
CTRL_DIFF2|6,1.1357561451066846e-05
VEL_FFW|2,8.842186965366179e-06
CMD_SPEED|2,8.005686226092291e-06
TORQUE|3,7.794606832467895e-06
LOAD|6,7.626992863774679e-06
CMD_SPEED|1,7.0141342831706766e-06
VEL_FFW|1,4.255030895560774e-06
LOAD|3,4.202803442664671e-06
TORQUE|1,1.473349041942602e-06
LOAD|1,6.164585217405028e-07
CONT_DEV|3,2.0629324837783737e-07
CTRL_DIFF|3,1.429526893778312e-07
CTRL_DIFF2|3,9.750803891275038e-08
CTRL_DIFF|2,2.721480415263013e-08
CTRL_DIFF2|1,2.658328286084353e-08
CTRL_DIFF2|2,2.6303406816959722e-08
CONT_DEV|1,2.0951764316608963e-08
CTRL_DIFF|1,1.787703957998853e-08
CONT_DEV|2,1.002328168443542e-08
CTRL_DIFF|6,0.0
CONT_DEV|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|2,0.0
ENC2_POS|6,0.0
