Feature,Importance
LOAD|1,0.024422350890827168
LOAD|6,0.02303446752618183
LOAD|3,0.019551695184271307
TORQUE|2,0.016017897106818238
TORQUE|1,0.013459968659313815
LOAD|2,0.012894876228594528
TORQUE|6,0.007510262116991224
TORQUE|3,0.004668928134129234
CTRL_DIFF2|6,0.004368763644558403
TORQUE_FFW|3,0.0
CMD_SPEED|1,0.0
VEL_FFW|3,0.0
VEL_FFW|6,0.0
ENC1_POS|3,0.0
CONT_DEV|1,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|2,0.0
TORQUE_FFW|2,0.0
CMD_SPEED|3,0.0
CMD_SPEED|6,0.0
ENC1_POS|2,0.0
VEL_FFW|1,0.0
ENC1_POS|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|1,0.0
VEL_FFW|2,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
DES_POS|1,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
ENC_POS|3,0.0
ENC_POS|6,0.0
CTRL_DIFF2|1,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|3,0.0
DES_POS|2,0.0
CTRL_POS|3,0.0
DES_POS|3,0.0
DES_POS|6,0.0
CTRL_DIFF|1,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|6,0.0
CTRL_POS|2,0.0
ENC1_POS|6,0.0
