Feature,Importance
ENC_POS|6,0.027625854093319295
TORQUE|1,0.027572068465047565
ENC_POS|2,0.027390089115693357
LOAD|2,0.0169784512706856
ENC_POS|1,0.01610690055224348
CTRL_DIFF2|6,0.014726036230822599
VEL_FFW|6,0.01430300264789988
VEL_FFW|1,0.012529251733081864
ENC_POS|3,0.011587809765588104
LOAD|1,0.01112441189800895
VEL_FFW|2,0.009244519694654969
LOAD|3,0.00740403693799415
LOAD|6,0.004639523572882829
TORQUE|6,0.001981544767271119
CTRL_DIFF2|3,0.0010675618737332193
CTRL_DIFF2|1,0.0009063872292582383
VEL_FFW|3,0.0004949772839656097
CMD_SPEED|2,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|1,0.0
CMD_SPEED|3,0.0
ENC1_POS|3,0.0
CMD_SPEED|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
CONT_DEV|1,0.0
ENC1_POS|1,0.0
ENC1_POS|2,0.0
TORQUE_FFW|6,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|6,0.0
DES_POS|3,0.0
DES_POS|2,0.0
DES_POS|1,0.0
TORQUE|3,0.0
TORQUE|2,0.0
CTRL_DIFF2|2,0.0
ENC1_POS|6,0.0
