Feature,Importance
TORQUE|1,0.012074949125018594
LOAD|6,0.00810207013247777
LOAD|3,0.007090990064800063
CTRL_DIFF2|6,0.004274282620311788
TORQUE|6,0.00243123971373955
LOAD|1,0.0023879088703078416
VEL_FFW|2,0.0
VEL_FFW|3,0.0
VEL_FFW|6,0.0
CONT_DEV|1,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|1,0.0
CMD_SPEED|2,0.0
CMD_SPEED|6,0.0
CMD_SPEED|3,0.0
CTRL_POS|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
ENC1_POS|1,0.0
ENC1_POS|2,0.0
ENC1_POS|3,0.0
VEL_FFW|1,0.0
CTRL_POS|1,0.0
CTRL_POS|3,0.0
TORQUE|3,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
ENC_POS|3,0.0
ENC_POS|6,0.0
CTRL_DIFF2|1,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|3,0.0
TORQUE|2,0.0
DES_POS|1,0.0
CTRL_POS|2,0.0
DES_POS|2,0.0
DES_POS|3,0.0
DES_POS|6,0.0
CTRL_DIFF|1,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|6,0.0
LOAD|2,0.0
ENC1_POS|6,0.0
