Feature,Importance
TORQUE|1,0.01902552266834925
ENC_POS|6,0.01627411480588828
VEL_FFW|2,0.012026560732627917
CTRL_DIFF2|6,0.010644517175873652
ENC_POS|3,0.008837716685564243
LOAD|3,0.007669024477983941
ENC_POS|2,0.007316777818468754
LOAD|2,0.007098279275417179
ENC_POS|1,0.006812474580052578
VEL_FFW|6,0.006764315312521995
VEL_FFW|1,0.0045673852272269146
LOAD|1,0.004558137119090243
LOAD|6,0.0042411099236694194
TORQUE|6,0.001529066146844087
CTRL_DIFF2|3,0.0006075472681171212
CTRL_DIFF2|1,0.0005040895500864057
VEL_FFW|3,0.00036652025848555464
CMD_SPEED|1,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
ENC1_POS|3,0.0
CMD_SPEED|2,0.0
ENC1_POS|2,0.0
CMD_SPEED|3,0.0
CMD_SPEED|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
CONT_DEV|1,0.0
ENC1_POS|1,0.0
TORQUE_FFW|6,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|6,0.0
DES_POS|3,0.0
DES_POS|2,0.0
DES_POS|1,0.0
TORQUE|3,0.0
TORQUE|2,0.0
CTRL_DIFF2|2,0.0
ENC1_POS|6,0.0
