Feature,Importance
TORQUE|1,0.01644722983474249
VEL_FFW|6,0.010503071924668572
ENC_POS|3,0.009927345663323534
VEL_FFW|2,0.009820500200733797
ENC_POS|6,0.009466455843371956
CTRL_DIFF2|6,0.009017777662845367
ENC_POS|2,0.00823024656963955
ENC_POS|1,0.007792273044317597
VEL_FFW|1,0.006292789976972376
LOAD|3,0.006256841300984695
LOAD|2,0.0059396590039709225
LOAD|6,0.0058622631290870895
LOAD|1,0.004401485314991329
TORQUE|6,0.0026031537483216234
CTRL_DIFF2|3,0.0010238340847500778
CTRL_DIFF2|1,0.0004923966874406799
VEL_FFW|3,0.0004506489418983964
ENC1_POS|2,0.0
CMD_SPEED|1,0.0
ENC1_POS|3,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|2,0.0
ENC1_POS|1,0.0
CMD_SPEED|3,0.0
CMD_SPEED|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
CONT_DEV|1,0.0
TORQUE_FFW|6,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|6,0.0
DES_POS|3,0.0
DES_POS|2,0.0
DES_POS|1,0.0
TORQUE|3,0.0
TORQUE|2,0.0
CTRL_DIFF2|2,0.0
ENC1_POS|6,0.0
