Feature,Importance
LOAD|6,0.037540199021747225
LOAD|1,0.030858723151205428
LOAD|3,0.017511893487041602
TORQUE|1,0.016685756409101332
TORQUE|6,0.014944934211489886
LOAD|2,0.012528008607002539
TORQUE|2,0.009929714236153913
TORQUE|3,0.007811963686483098
CTRL_DIFF2|6,0.0026469355422315114
TORQUE_FFW|3,0.0
CMD_SPEED|1,0.0
VEL_FFW|3,0.0
VEL_FFW|6,0.0
ENC1_POS|3,0.0
CONT_DEV|1,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|2,0.0
TORQUE_FFW|2,0.0
CMD_SPEED|3,0.0
CMD_SPEED|6,0.0
ENC1_POS|2,0.0
VEL_FFW|1,0.0
ENC1_POS|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|1,0.0
VEL_FFW|2,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
DES_POS|1,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
ENC_POS|3,0.0
ENC_POS|6,0.0
CTRL_DIFF2|1,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|3,0.0
DES_POS|2,0.0
CTRL_POS|3,0.0
DES_POS|3,0.0
DES_POS|6,0.0
CTRL_DIFF|1,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|6,0.0
CTRL_POS|2,0.0
ENC1_POS|6,0.0
