Feature,Importance
LOAD|1,0.012333562122251788
LOAD|3,0.011611798063472128
LOAD|6,0.009298826939917331
LOAD|2,0.007022228375654627
TORQUE|6,0.005690781127839562
TORQUE|2,0.004049699791817125
TORQUE|1,0.003589321513769633
CTRL_DIFF2|6,0.003269089690147389
TORQUE|3,0.0030882656645249895
TORQUE_FFW|2,0.0
CMD_SPEED|1,0.0
VEL_FFW|3,0.0
VEL_FFW|6,0.0
ENC1_POS|3,0.0
CONT_DEV|1,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|2,0.0
TORQUE_FFW|1,0.0
CMD_SPEED|3,0.0
CMD_SPEED|6,0.0
ENC1_POS|2,0.0
VEL_FFW|1,0.0
ENC1_POS|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|3,0.0
VEL_FFW|2,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
DES_POS|1,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
ENC_POS|3,0.0
ENC_POS|6,0.0
CTRL_DIFF2|1,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|3,0.0
DES_POS|2,0.0
CTRL_POS|3,0.0
DES_POS|3,0.0
DES_POS|6,0.0
CTRL_DIFF|1,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|6,0.0
CTRL_POS|2,0.0
ENC1_POS|6,0.0
