Feature,Importance
VEL_FFW|6,0.020877537173048365
ENC_POS|1,0.02017837378291651
LOAD|1,0.018265308579237364
ENC_POS|3,0.01784621660740221
LOAD|3,0.013839152514845389
LOAD|6,0.011435562238248244
ENC_POS|2,0.008540477337632963
ENC_POS|6,0.007838388061152883
TORQUE|3,0.0042873512200196275
TORQUE|6,0.004271698100018456
TORQUE|2,0.0036588024139273373
TORQUE|1,0.0036105783101369224
LOAD|2,0.0036055267796490397
CTRL_DIFF2|6,0.0029067976403711867
VEL_FFW|1,0.0015941665844331466
CTRL_DIFF2|3,0.0010374787990616449
VEL_FFW|2,0.0008315915646507119
VEL_FFW|3,0.0006409354262230381
CTRL_DIFF2|1,0.0005294748341934317
CTRL_DIFF2|2,0.0002816119859526083
CTRL_DIFF|6,0.00019699380843432482
CMD_SPEED|6,0.0
CMD_SPEED|1,0.0
CMD_SPEED|2,0.0
CMD_SPEED|3,0.0
ENC1_POS|2,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
ENC1_POS|1,0.0
CONT_DEV|3,0.0
ENC1_POS|3,0.0
CONT_DEV|6,0.0
CTRL_POS|1,0.0
CONT_DEV|2,0.0
CONT_DEV|1,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|6,0.0
DES_POS|3,0.0
DES_POS|2,0.0
DES_POS|1,0.0
ENC1_POS|6,0.0
