Feature,Importance
TORQUE|1,0.028793658808963972
ENC_POS|1,0.023408311055491765
ENC_POS|2,0.023341079875997744
CTRL_DIFF2|6,0.02252089819052819
VEL_FFW|1,0.019741619161754487
ENC_POS|3,0.018983340436903168
LOAD|6,0.01872442578310398
LOAD|1,0.01704600403291763
ENC_POS|6,0.016654764858773333
LOAD|2,0.01596554802703465
VEL_FFW|2,0.011315842724601986
LOAD|3,0.008319582888026708
TORQUE|6,0.003761101415156368
CTRL_DIFF2|2,0.0018071694133616751
CTRL_DIFF2|1,0.001540787921432545
CTRL_DIFF2|3,0.0011690884520226983
VEL_FFW|3,0.0009553273545384606
CMD_SPEED|3,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|1,0.0
CMD_SPEED|2,0.0
ENC1_POS|1,0.0
CMD_SPEED|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
CONT_DEV|1,0.0
ENC1_POS|2,0.0
ENC1_POS|3,0.0
CONT_DEV|2,0.0
CTRL_POS|1,0.0
VEL_FFW|6,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|6,0.0
DES_POS|3,0.0
DES_POS|2,0.0
DES_POS|1,0.0
TORQUE|3,0.0
TORQUE|2,0.0
ENC1_POS|6,0.0
