Feature,Importance
TORQUE|1,0.01715875800380896
LOAD|2,0.009935614725493059
LOAD|6,0.00906256051462325
CTRL_DIFF2|6,0.008683469884218482
ENC_POS|1,0.007987077480304467
LOAD|3,0.00707063571727766
VEL_FFW|2,0.006694801056450692
VEL_FFW|1,0.006068303951252712
ENC_POS|2,0.005806328168856592
ENC_POS|6,0.0046290288952542
LOAD|1,0.004614555951204854
ENC_POS|3,0.003716205042155352
TORQUE|6,0.002284705337850125
CTRL_DIFF2|1,0.0006918993604593364
VEL_FFW|3,0.0006710961352185594
CTRL_DIFF2|3,0.0006218586167737488
CTRL_DIFF2|2,0.00042865314536273447
CMD_SPEED|3,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|1,0.0
CMD_SPEED|2,0.0
ENC1_POS|1,0.0
CMD_SPEED|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
CONT_DEV|1,0.0
ENC1_POS|2,0.0
ENC1_POS|3,0.0
CONT_DEV|2,0.0
CTRL_POS|1,0.0
VEL_FFW|6,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|6,0.0
DES_POS|3,0.0
DES_POS|2,0.0
DES_POS|1,0.0
TORQUE|3,0.0
TORQUE|2,0.0
ENC1_POS|6,0.0
