Feature Name,Aggregated LIME Importance
VEL_FFW|3,0.028784108509451126
ENC_POS|6,0.018911765244228083
DES_POS|6,0.013336460727521055
ENC1_POS|6,0.009989186645891053
CTRL_POS|6,0.007073421228517824
CTRL_POS|3,0.0017641312035012082
DES_POS|3,0.0016756435340121907
VEL_FFW|6,3.514609324284114e-05
CMD_SPEED|1,3.20718995782001e-05
CTRL_POS|1,3.15057791119473e-05
CTRL_DIFF2|6,3.147518295414374e-05
LOAD|1,3.120509646233623e-05
ENC2_POS|3,3.0753731744747005e-05
CTRL_POS|2,2.972824064109207e-05
CMD_SPEED|6,2.9592536872095344e-05
ENC_POS|1,2.949882769526252e-05
CMD_SPEED|3,2.89813842140817e-05
LOAD|6,2.8907153212361285e-05
TORQUE|2,2.8900512677682453e-05
ENC1_POS|3,2.8719137300925316e-05
ENC2_POS|2,2.8438836973219553e-05
CONT_DEV|1,2.837598942993293e-05
VEL_FFW|1,2.7898870050630164e-05
CTRL_DIFF|2,2.7343770583731826e-05
CONT_DEV|2,2.7245259064530144e-05
TORQUE|3,2.7149680042143e-05
ENC1_POS|2,2.6490642667289163e-05
CTRL_DIFF|1,2.648076845599439e-05
ENC_POS|2,2.616891287034757e-05
ENC_POS|3,2.588276280119046e-05
DES_POS|2,2.5545994226242344e-05
CMD_SPEED|2,2.5282545756423163e-05
CONT_DEV|3,2.5052807996924295e-05
CTRL_DIFF2|2,2.4929966326453275e-05
CTRL_DIFF|3,2.4856241513740458e-05
DES_POS|1,2.482753326689323e-05
TORQUE|1,2.4795461830173573e-05
LOAD|2,2.4776426947313998e-05
ENC1_POS|1,2.4618438415560837e-05
ENC2_POS|1,2.4595013424062108e-05
CTRL_DIFF2|3,2.3713335738117454e-05
TORQUE|6,2.360670157004108e-05
CTRL_DIFF2|1,2.3551484691973215e-05
LOAD|3,2.235306703595273e-05
VEL_FFW|2,2.1128707187288846e-05
CTRL_DIFF|6,0.0
CONT_DEV|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|2,0.0
ENC2_POS|6,0.0
