Feature,Importance
VEL_FFW|3,0.33176557239687765
TORQUE|1,0.22438878020012942
CMD_SPEED|1,0.1809220750838078
LOAD|1,0.10297521457395803
VEL_FFW|1,0.144034326196623
ENC1_POS|2,0.12375883567763764
ENC_POS|2,0.08755284864018649
DES_POS|2,0.10826669421745823
CTRL_POS|2,0.09147618763394318
LOAD|6,0.027102960967055674
CTRL_DIFF2|6,0.045673619769068016
CMD_SPEED|6,0.0337653626014074
VEL_FFW|6,0.0379921859218008
DES_POS|1,0.04968103063553428
CMD_SPEED|2,0.04527521436883556
VEL_FFW|2,0.045930254985854256
ENC1_POS|1,0.004733444256912464
ENC_POS|1,0.025230893429042965
TORQUE|3,0.01541079373525944
CTRL_POS|3,0.022727018046138213
CTRL_POS|1,0.03401041576681931
DES_POS|3,0.02954732041944879
CTRL_POS|6,0.006509387486239491
CMD_SPEED|3,0.0011409308371079507
ENC1_POS|6,0.00039600135088446313
CTRL_DIFF|2,0.00024966467035657144
CTRL_DIFF|1,0.0009183359702774012
CTRL_DIFF2|1,0.0014767462402265027
CTRL_DIFF2|3,0.00024177447003021055
TORQUE|2,3.4104582172916114e-05
CONT_DEV|1,4.60161566202299e-05
CTRL_DIFF|3,3.7021426177089655e-05
CONT_DEV|3,1.7236338558313697e-05
LOAD|3,2.0102213109822705e-05
ENC_POS|3,3.516309287633022e-05
ENC1_POS|3,9.320254262489099e-06
