Feature,Importance
TORQUE|6,1.039388375184195
TORQUE|1,0.617618485206464
TORQUE|2,0.3702006326118944
TORQUE|3,0.2876071893611427
LOAD|6,0.2874348875008068
VEL_FFW|6,0.18176632321722183
ENC_POS|6,0.11224795128377632
VEL_FFW|2,0.038875421095746654
CTRL_DIFF2|6,0.03743124702917734
CTRL_DIFF2|3,0.027747729648180442
ENC_POS|1,0.021319672617227604
ENC_POS|2,0.0161048023447107
LOAD|2,0.008166220594907913
LOAD|3,0.007769390278040422
ENC_POS|3,0.0060075767898073226
CTRL_DIFF2|1,0.0030209971020789816
LOAD|1,0.002651518207698533
VEL_FFW|1,0.0016301389632615514
CTRL_DIFF2|2,0.0004737220379236962
VEL_FFW|3,9.04941329600506e-05
CTRL_DIFF|6,1.3773381547399488e-05
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
