Feature,Importance
TORQUE|6,1.011119240524056
TORQUE|1,0.6223572515190277
TORQUE|2,0.4104842068828118
TORQUE|3,0.3211793699199925
LOAD|6,0.2651119587787177
CMD_SPEED|6,0.19864884551099848
ENC_POS|6,0.06484564687178432
VEL_FFW|2,0.05869979558534355
DES_POS|6,0.05750711241952124
CMD_SPEED|2,0.018130865732776703
DES_POS|1,0.017300946373003334
LOAD|3,0.016020820661859482
CTRL_DIFF2|6,0.014234078571162202
DES_POS|2,0.011101559191767219
CTRL_DIFF|2,0.009756952363169568
LOAD|2,0.008579986826946107
CMD_SPEED|1,0.007697301634716458
ENC1_POS|6,0.005704779474922839
ENC1_POS|3,0.0028325441253347684
ENC1_POS|1,0.002793716045116601
CTRL_POS|1,0.0022680194890833507
CTRL_POS|2,0.002229771214632803
ENC_POS|1,0.0015517525418147437
LOAD|1,0.0014697864276610351
CONT_DEV|1,0.0013490182157067875
ENC_POS|3,0.0012669282267731342
CMD_SPEED|3,0.001104490093726762
CTRL_POS|6,0.0010949243252503349
CONT_DEV|3,0.0010649832284775785
ENC_POS|2,0.0007507096475195651
ENC1_POS|2,0.0006642838732314304
DES_POS|3,0.0005726540007799152
VEL_FFW|1,0.00046801061408747736
CTRL_POS|3,0.0003833446706031474
CTRL_DIFF|3,0.0003779901208224801
CTRL_DIFF2|1,0.00033684001828447884
VEL_FFW|6,0.0003021761828643554
VEL_FFW|3,0.00025699596218009546
CONT_DEV|2,0.0002460409286884513
CTRL_DIFF2|2,0.0002037382945382138
CTRL_DIFF2|3,0.00015354799055108392
CTRL_DIFF|1,5.2323719216962326e-05
CONT_DEV|6,1.570031682757156e-05
CTRL_DIFF|6,1.062483039964146e-05
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|1,0.0
