Feature,Importance
TORQUE|6,0.8671980078814338
TORQUE|1,0.5997137929227635
TORQUE|2,0.3212275515521988
LOAD|6,0.2855166822279013
TORQUE|3,0.2542384786289832
ENC_POS|6,0.05642372274255094
LOAD|3,0.0148615769254412
VEL_FFW|2,0.009762231527426724
ENC_POS|2,0.008849341175495695
ENC_POS|1,0.006228446143177147
CTRL_DIFF2|6,0.005504154922503479
VEL_FFW|6,0.0051466655522132585
LOAD|2,0.0032161715663574396
CTRL_DIFF2|3,0.0017241297507359255
LOAD|1,0.001048210074922873
CTRL_DIFF2|2,0.0006386674171305007
ENC_POS|3,0.0006282322466214185
VEL_FFW|3,0.0005830645557822645
VEL_FFW|1,0.00029093615783645224
CTRL_DIFF2|1,0.0002479378438750568
CTRL_DIFF|6,1.1104238405024169e-05
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
