Feature,Importance
TORQUE|1,0.43928174125684494
TORQUE|6,0.3879440318795235
TORQUE|2,0.22169116972180497
TORQUE|3,0.17940384701329176
LOAD|6,0.0754668159169646
LOAD|2,0.053137887596470666
LOAD|3,0.003853978830347604
DES_POS|6,0.003342795138674126
ENC1_POS|6,0.0031151849836285163
CMD_SPEED|2,0.0026804710556195934
CTRL_DIFF2|6,0.002474508717215651
CMD_SPEED|3,0.002020228494588072
ENC_POS|6,0.0012181449659799503
ENC_POS|3,0.001166277763087109
VEL_FFW|6,0.0011096451216489277
CONT_DEV|3,0.001007436519137861
ENC1_POS|3,0.000996466449303346
CTRL_DIFF|3,0.000959217212678054
CMD_SPEED|1,0.0009286588484086478
CTRL_POS|6,0.000878733487083283
ENC1_POS|1,0.0008115352960698652
VEL_FFW|3,0.0007997943800570839
CMD_SPEED|6,0.0007865056122735691
LOAD|1,0.0007093327724504328
CTRL_POS|3,0.0006686754979271181
DES_POS|3,0.0006513063018811271
CTRL_DIFF2|3,0.0006214773787494021
ENC_POS|1,0.00041833907670307813
VEL_FFW|2,0.0003017161395310719
VEL_FFW|1,0.0002488882461997077
DES_POS|1,0.0002477650992470437
ENC_POS|2,0.000193423645679347
CTRL_POS|1,0.00019328444300120706
ENC1_POS|2,0.00017343880205602513
CTRL_DIFF|2,0.00013681888924188534
CONT_DEV|2,0.00012327127429631046
CTRL_DIFF2|2,0.00011010257907380083
DES_POS|2,0.00010808902151664413
CTRL_DIFF|1,9.672782519480894e-05
CTRL_POS|2,9.001128729798635e-05
CONT_DEV|1,8.942825431532687e-05
CTRL_DIFF2|1,8.02634398793134e-05
CONT_DEV|6,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
CTRL_DIFF|6,0.0
