Feature Name,Permutation Importance
TORQUE|1,1.430511474609375e-05
TORQUE|2,1.430511474609375e-05
CMD_SPEED|1,1.430511474609375e-05
TORQUE|3,3.337860107421875e-06
CTRL_DIFF2|1,0.0
CONT_DEV|2,0.0
CONT_DEV|1,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
ENC2_POS|6,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|1,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|1,0.0
CONT_DEV|6,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF2|2,0.0
CONT_DEV|3,-4.76837158203125e-07
CTRL_DIFF2|3,-1.430511474609375e-06
LOAD|1,-8.58306884765625e-06
LOAD|2,-9.059906005859375e-06
VEL_FFW|3,-2.574920654296875e-05
LOAD|3,-3.0517578125e-05
TORQUE|6,-5.53131103515625e-05
LOAD|6,-0.00018596649169921875
VEL_FFW|1,-0.00020170211791992188
VEL_FFW|2,-0.00020551681518554688
CMD_SPEED|2,-0.0003266334533691406
ENC1_POS|2,-0.0008187294006347656
CMD_SPEED|3,-0.0009641647338867188
ENC_POS|1,-0.0010552406311035156
ENC2_POS|2,-0.001300811767578125
ENC1_POS|1,-0.0016694068908691406
DES_POS|2,-0.0018367767333984375
CTRL_DIFF2|6,-0.0018787384033203125
ENC2_POS|3,-0.0020723342895507812
CTRL_POS|2,-0.0024099349975585938
ENC_POS|2,-0.003204822540283203
ENC2_POS|1,-0.004195690155029297
CTRL_POS|1,-0.004471778869628906
DES_POS|1,-0.004845142364501953
CTRL_POS|3,-0.007282733917236328
ENC_POS|3,-0.007874488830566406
DES_POS|3,-0.010365962982177734
ENC1_POS|3,-0.010426521301269531
CMD_SPEED|6,-0.10933494567871094
VEL_FFW|6,-0.15978002548217773
CTRL_POS|6,-0.918574333190918
ENC1_POS|6,-0.9416093826293945
ENC_POS|6,-1.2520365715026855
DES_POS|6,-1.3478260040283203
