Feature,Importance
TORQUE|6,1.0
TORQUE|1,0.9326924476874913
TORQUE|2,0.8713182061470386
VEL_FFW|3,0.7562410483015386
LOAD|1,0.5037756099237077
CTRL_DIFF2|3,0.3628869173176743
TORQUE|3,0.3042635906858556
LOAD|3,0.29013623420403306
ENC_POS|3,0.20391667923039478
LOAD|2,0.1549623497983258
LOAD|6,0.15306943430961037
CMD_SPEED|3,0.11581198848086
ENC1_POS|3,0.11524009440430448
VEL_FFW|6,0.10011847046598467
CTRL_DIFF2|6,0.07268160748241309
ENC_POS|2,0.05359302102114262
DES_POS|3,0.05138129948011925
VEL_FFW|2,0.03782112254203738
CTRL_DIFF2|2,0.036408355030404585
ENC_POS|1,0.03590032821183728
CTRL_POS|3,0.027761776938966743
ENC_POS|6,0.024469324570063847
CMD_SPEED|2,0.02304197990726828
DES_POS|2,0.019032625918894173
CMD_SPEED|6,0.018401541599141456
CMD_SPEED|1,0.012216718041580704
VEL_FFW|1,0.009995782846147626
DES_POS|6,0.008376824597165052
ENC1_POS|2,0.007358207828455285
DES_POS|1,0.00479322716232231
CTRL_POS|2,0.00419506645869342
CTRL_DIFF2|1,0.0036110737153113004
CTRL_POS|1,0.0035196296700446246
ENC1_POS|1,0.0011656226182628657
CTRL_POS|6,0.0007778102831702481
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CONT_DEV|1,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
TORQUE_FFW|1,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|6,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
ENC1_POS|6,0.0
