Feature,Importance
TORQUE|6,1.0
TORQUE|1,0.28265532493683815
LOAD|6,0.24907910816943232
TORQUE|2,0.15295589429408005
LOAD|2,0.12438848055050081
TORQUE|3,0.0937099464240136
LOAD|3,0.05788485272688902
LOAD|1,0.046485042417080645
CMD_SPEED|1,0.03257757301526982
VEL_FFW|1,0.022879053452511077
CONT_DEV|3,0.02055923945877053
CMD_SPEED|3,0.01553777096355727
CTRL_DIFF|1,0.015141961952402742
CMD_SPEED|2,0.012513798457741707
CTRL_POS|3,0.012422429851400662
CTRL_DIFF2|3,0.012186685295507598
CONT_DEV|1,0.010839819262159673
DES_POS|3,0.008263360078673947
CTRL_DIFF|3,0.00646350798844638
VEL_FFW|2,0.005979718254243546
ENC_POS|3,0.005455951497186415
DES_POS|2,0.0036232629996600127
VEL_FFW|3,0.0031636575400391773
CTRL_POS|1,0.0017286022985172381
ENC1_POS|1,9.621588551372898e-05
CTRL_DIFF|6,0.0
CTRL_POS|2,0.0
ENC1_POS|3,0.0
ENC1_POS|2,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|1,0.0
CMD_SPEED|6,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
ENC_POS|6,0.0
CONT_DEV|6,0.0
CTRL_DIFF2|1,0.0
CONT_DEV|2,0.0
CTRL_DIFF2|2,0.0
VEL_FFW|6,0.0
CTRL_DIFF2|6,0.0
DES_POS|1,0.0
DES_POS|6,0.0
CTRL_POS|6,0.0
CTRL_DIFF|2,0.0
ENC1_POS|6,0.0
