Feature,Importance
TORQUE|6,1.0
TORQUE|1,0.672765009824174
LOAD|6,0.45520831842825266
VEL_FFW|1,0.3435591600538315
CMD_SPEED|1,0.3404255158915146
TORQUE|2,0.30928337376218795
LOAD|2,0.2851488160910105
LOAD|1,0.1744447967273338
TORQUE|3,0.13206491410531485
LOAD|3,0.1294870568672445
ENC1_POS|6,0.08250272810045133
CMD_SPEED|3,0.07968237304448479
CONT_DEV|2,0.07847364944907056
CMD_SPEED|2,0.07461703042594516
CTRL_DIFF2|3,0.07282088975612401
CONT_DEV|1,0.06641277195339523
VEL_FFW|3,0.05957764712350143
CTRL_DIFF|3,0.054794716559965116
DES_POS|6,0.05136058597112469
VEL_FFW|6,0.050894417805665865
CTRL_POS|6,0.046182278530583716
CMD_SPEED|6,0.044279950928081326
ENC_POS|6,0.03998728769203078
CTRL_DIFF2|1,0.03827775338574399
TORQUE_FFW|2,0.03598607369674368
CONT_DEV|3,0.035981555103863624
CONT_DEV|6,0.03223865400155289
ENC1_POS|3,0.028784942843565562
CTRL_DIFF|2,0.026335865502576727
CTRL_DIFF2|2,0.02495392918009379
TORQUE_FFW|6,0.021808988535576765
VEL_FFW|2,0.020103219723356682
CTRL_DIFF2|6,0.019665669312804862
TORQUE_FFW|3,0.008873010218797798
ENC_POS|3,0.0075927422361160585
CTRL_DIFF|6,0.0029913084865952175
CTRL_POS|3,0.0002507819048429525
ENC_POS|2,0.0
CTRL_POS|2,0.0
ENC_POS|1,0.0
CTRL_DIFF|1,0.0
TORQUE_FFW|1,0.0
DES_POS|3,0.0
DES_POS|2,0.0
ENC1_POS|1,0.0
ENC1_POS|2,0.0
DES_POS|1,0.0
CTRL_POS|1,0.0
