Feature,Importance
TORQUE|6,1.0
TORQUE|1,0.30030652940585456
LOAD|6,0.2208025401841086
TORQUE|2,0.14465916768201592
LOAD|2,0.1325462921894616
TORQUE|3,0.08187586328487549
LOAD|3,0.07606280670684243
LOAD|1,0.051662922772740476
CMD_SPEED|1,0.036803734092464895
VEL_FFW|1,0.0349323057627946
CMD_SPEED|2,0.011565667495925993
CMD_SPEED|3,0.01113074008378928
CTRL_DIFF|3,0.010787887866224291
VEL_FFW|2,0.009995529664048732
CONT_DEV|3,0.0066485537139616725
ENC_POS|1,0.006411801107178638
CTRL_DIFF2|3,0.006193335657095266
DES_POS|6,0.004652482852380402
VEL_FFW|3,0.0036905102061303577
CTRL_DIFF2|6,0.0030401012622528747
VEL_FFW|6,0.0020319205090973914
DES_POS|3,0.0004804108531589486
CMD_SPEED|6,0.0
TORQUE_FFW|1,0.0
CONT_DEV|2,0.0
TORQUE_FFW|3,0.0
CONT_DEV|6,0.0
TORQUE_FFW|6,0.0
ENC1_POS|1,0.0
ENC1_POS|2,0.0
ENC1_POS|3,0.0
TORQUE_FFW|2,0.0
CTRL_POS|1,0.0
CONT_DEV|1,0.0
CTRL_POS|6,0.0
CTRL_POS|3,0.0
CTRL_POS|2,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|1,0.0
DES_POS|2,0.0
DES_POS|1,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|1,0.0
ENC_POS|6,0.0
ENC_POS|3,0.0
ENC_POS|2,0.0
ENC1_POS|6,0.0
