Feature,Importance
TORQUE|6,1.0
TORQUE|1,0.69126516927768
TORQUE|3,0.622961765711798
TORQUE|2,0.5509897816362762
LOAD|6,0.19006697462006655
LOAD|3,0.05357647743604751
LOAD|1,0.02568894372601328
LOAD|2,0.023916070541251697
CTRL_POS|3,0.020004414125343636
CTRL_DIFF2|3,0.013394209625012282
CTRL_DIFF2|6,0.010288709845169629
ENC_POS|1,0.008483371406243292
VEL_FFW|6,0.006170263584409632
VEL_FFW|3,0.004466174971348921
ENC_POS|3,0.002867033775957139
DES_POS|3,0.002672321672185164
CTRL_DIFF2|2,0.0016038971122874866
ENC_POS|6,0.0015377990228713878
CTRL_POS|1,0.0013551694338811498
DES_POS|1,0.001285082353011194
CMD_SPEED|3,0.0011168482017357298
CMD_SPEED|1,0.0009204174976904318
ENC_POS|2,0.0008478081318472067
VEL_FFW|2,0.0006095011917901142
CTRL_POS|6,0.0006059028027130031
CTRL_DIFF2|1,0.0005171600026418117
ENC1_POS|3,0.0004542035169631132
ENC1_POS|2,0.000415635730670184
CMD_SPEED|2,0.00031954042595549445
VEL_FFW|1,0.00023404045859068992
CTRL_POS|2,0.00016107181876469855
ENC1_POS|1,0.00013306802868996904
DES_POS|6,0.00010584166076086218
DES_POS|2,5.781535789020609e-05
CMD_SPEED|6,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|3,0.0
TORQUE_FFW|2,0.0
TORQUE_FFW|1,0.0
CONT_DEV|2,0.0
CONT_DEV|6,0.0
CONT_DEV|3,0.0
CTRL_DIFF|1,0.0
CONT_DEV|1,0.0
CTRL_DIFF|6,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|2,0.0
ENC1_POS|6,0.0
