Feature,Importance
TORQUE|6,1.0
TORQUE|1,0.41994205893964376
LOAD|6,0.3886724646431806
CMD_SPEED|1,0.1654643993404705
VEL_FFW|1,0.16131040849028122
LOAD|2,0.15688693558749991
LOAD|1,0.14341283295789695
TORQUE|2,0.139734910940294
LOAD|3,0.11283605427958787
TORQUE|3,0.0793283558982219
CONT_DEV|3,0.05584035825147272
CMD_SPEED|6,0.05572908199995356
CTRL_DIFF2|6,0.05394285625817639
CMD_SPEED|2,0.05256690121765248
CTRL_DIFF|2,0.03460788184203804
CTRL_DIFF|6,0.03364026226361054
CMD_SPEED|3,0.031279754302036646
CTRL_DIFF|1,0.02785583242377093
VEL_FFW|6,0.02758489894181123
VEL_FFW|3,0.02446480961117175
VEL_FFW|2,0.023373334726705525
CONT_DEV|2,0.019586555506529497
DES_POS|6,0.013229778686050022
TORQUE_FFW|2,0.01267097837950814
DES_POS|3,0.011552893956635162
CTRL_DIFF|3,0.00817735305729082
TORQUE_FFW|1,0.005247884783601557
ENC_POS|6,0.002077479234883847
ENC1_POS|6,0.0007024918139383665
CTRL_POS|6,0.0
ENC_POS|3,0.0
ENC1_POS|3,0.0
ENC1_POS|2,0.0
ENC1_POS|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|3,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
CTRL_DIFF2|1,0.0
CTRL_POS|3,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|3,0.0
CONT_DEV|6,0.0
DES_POS|1,0.0
DES_POS|2,0.0
CONT_DEV|1,0.0
CTRL_POS|2,0.0
CTRL_POS|1,0.0
